Community,Pop,Pre_arrest_rate,Post_arrest_rate,Percent_change,Black_share,Latino_share,White_share,Asian_share,Other_share
Lincoln Park,64116,96.7,67.07,-0.306411582,0.043,0.056,0.829,0.051,0.021
Washington Heights,26493,894.58,962.52,0.075946254,0.974,0.01,0.005,0,0.012
South Deering,15109,767.75,529.49,-0.310335396,0.619,0.318,0.048,0.001,0.013
Morgan Park,22544,754.08,634.32,-0.158816041,0.667,0.027,0.287,0.004,0.014
Uptown,56362,720.34,500.34,-0.305411334,0.2,0.142,0.516,0.114,0.028
Loop,29283,665.92,338.08,-0.492311389,0.115,0.069,0.627,0.159,0.031
East Side,23042,594.57,455.69,-0.233580571,0.034,0.784,0.172,0.002,0.007
Lower West Side,35769,584.3,480.86,-0.177032346,0.031,0.824,0.124,0.01,0.01
Riverdale,6482,570.81,740.51,0.297296824,0.964,0.02,0.005,0,0.01
Douglas,18238,570.24,685.38,0.201914983,0.726,0.025,0.099,0.127,0.022
Gage Park,39894,569.01,353.44,-0.378850987,0.054,0.892,0.047,0.003,0.003
Rogers Park,54991,563.73,438.25,-0.222588828,0.263,0.244,0.393,0.064,0.036
Norwood Park,37023,54.02,102.64,0.900037023,0.004,0.12,0.815,0.046,0.015
McKinley Park,15612,538.05,301.05,-0.440479509,0.015,0.648,0.171,0.157,0.01
Calumet Heights,13812,506.81,289.6,-0.428582704,0.934,0.041,0.009,0.002,0.014
Near West Side,54881,499.26,364.42,-0.270079718,0.315,0.092,0.42,0.146,0.027
Avalon Park,10185,490.92,667.65,0.359997556,0.957,0.015,0.008,0.002,0.018
Hermosa,25010,479.81,435.83,-0.091661283,0.03,0.874,0.076,0.012,0.007
Belmont Cragin,78743,463.53,287.01,-0.380816776,0.032,0.789,0.152,0.02,0.008
Kenwood,17841,459.62,347.51,-0.24391889,0.719,0.03,0.165,0.055,0.032
Oakland,5918,456.24,642.11,0.407395231,0.941,0.015,0.021,0.006,0.018
Pullman,7325,409.56,409.56,0,0.836,0.078,0.071,0.001,0.014
West Town,82236,391.74,209.99,-0.463955685,0.078,0.291,0.572,0.038,0.022
South Lawndale,79288,387.2,317.83,-0.179158058,0.131,0.826,0.039,0.001,0.004
Avondale,39262,354.03,134.99,-0.61870463,0.025,0.644,0.284,0.03,0.016
Edison Park,11187,35.76,17.88,-0.5,0.003,0.078,0.884,0.024,0.012
Hegewisch,9426,339.49,318.27,-0.062505523,0.039,0.496,0.449,0.005,0.011
Brighton Park,45368,332.83,282.14,-0.152299973,0.012,0.853,0.081,0.05,0.004
Garfield Ridge,34513,318.72,260.77,-0.181821034,0.059,0.392,0.532,0.01,0.007
Irving Park,53359,311.1,193.03,-0.379524269,0.033,0.456,0.417,0.07,0.025
Lincoln Square,39493,298.79,83.56,-0.720338699,0.038,0.191,0.631,0.111,0.029
West Elsdon,18109,298.19,226.41,-0.240719005,0.014,0.79,0.179,0.012,0.004
Forest Glen,18508,27.02,21.61,-0.200222058,0.007,0.115,0.746,0.107,0.024
Hyde Park,25681,268.68,89.56,-0.666666667,0.304,0.063,0.467,0.124,0.041
Austin,98514,2440.26,2029.15,-0.168469753,0.851,0.089,0.044,0.006,0.01
West Ridge,71942,240.47,189.04,-0.213872832,0.111,0.204,0.427,0.225,0.032
Portage Park,64124,240.16,383.63,0.597393404,0.013,0.388,0.535,0.046,0.017
Fuller Park,2876,2399.17,3198.89,0.333331944,0.922,0.046,0.016,0.002,0.014
Bridgeport,31977,231.42,156.36,-0.324345346,0.021,0.27,0.351,0.345,0.013
Logan Square,72791,226.92,178,-0.215582584,0.054,0.512,0.392,0.025,0.017
Near North Side,80484,226.13,95.67,-0.576924778,0.108,0.049,0.721,0.101,0.02
Lake View,94368,225.71,153.65,-0.319259226,0.039,0.076,0.804,0.06,0.021
West Lawn,33355,224.85,128.92,-0.426639982,0.042,0.8,0.148,0.006,0.005
West Garfield Park,18001,2233.21,3049.83,0.36567094,0.962,0.019,0.007,0,0.011
Woodlawn,23740,2101.37,1216.18,-0.421244236,0.868,0.021,0.068,0.023,0.02
Greater Grand Crossing,32602,2052.02,1349.61,-0.342301732,0.969,0.012,0.006,0.001,0.013
East Garfield Park,20567,2027.52,3194.44,0.575540562,0.909,0.041,0.034,0.004,0.012
West Englewood,35505,2002.53,1433.6,-0.284105606,0.963,0.022,0.004,0.001,0.011
Englewood,30654,1875.77,1543.03,-0.177388486,0.974,0.011,0.003,0.001,0.011
Roseland,44619,1797.44,1214.73,-0.324188846,0.974,0.01,0.004,0.001,0.011
Chicago Lawn,55628,1702.38,886.24,-0.479411177,0.493,0.452,0.043,0.003,0.009
North Lawndale,35912,1659.61,2174.76,0.310404252,0.914,0.06,0.014,0.002,0.01
West Pullman,29651,1632.32,1271.46,-0.221071849,0.931,0.051,0.006,0,0.012
Humboldt Park,56323,1622.78,1745.29,0.075493906,0.409,0.533,0.044,0.004,0.009
Edgewater,56521,162.77,93.77,-0.42391104,0.143,0.165,0.547,0.116,0.029
North Park,17931,161.73,122.69,-0.241389971,0.032,0.18,0.493,0.257,0.038
South Shore,52010,1597.44,1163.42,-0.271697216,0.949,0.017,0.014,0.002,0.018
Clearing,23139,159.9,73.47,-0.540525328,0.012,0.453,0.515,0.009,0.01
O'Hare,12756,156.79,94.07,-0.400025512,0.032,0.095,0.772,0.083,0.019
New City,44377,1516.55,998.26,-0.341755959,0.296,0.573,0.106,0.016,0.008
Chatham,31028,1479.31,1070,-0.276689808,0.972,0.01,0.004,0.001,0.013
South Chicago,31198,1455.22,1089.81,-0.251102926,0.747,0.217,0.019,0.002,0.015
Grand Boulevard,21929,1441.01,1327.01,-0.079111179,0.941,0.018,0.018,0.003,0.02
Beverly,20034,129.78,54.91,-0.576899368,0.341,0.046,0.588,0.006,0.019
Jefferson Park,25448,117.89,200.41,0.699974553,0.01,0.194,0.687,0.089,0.021
Burnside,2916,1165.98,1063.1,-0.08823479,0.977,0.007,0.007,0,0.01
Mount Greenwood,19093,109.99,47.14,-0.571415583,0.052,0.072,0.86,0.007,0.01
Dunning,41932,109.7,133.55,0.217411121,0.007,0.238,0.704,0.038,0.013
Montclare,13426,104.28,96.83,-0.071442271,0.045,0.54,0.375,0.028,0.012
North Center,31867,103.56,72.17,-0.303109309,0.023,0.136,0.773,0.045,0.022
Near South Side,21390,102.85,51.43,-0.499951386,0.281,0.056,0.481,0.155,0.027
Washington Park,11717,3089.53,2142.19,-0.306629164,0.97,0.009,0.007,0.001,0.012
